#   <lc>              σ(lc)             lb                σ(lb)             <lambda>          σ(lambda)         <L/lc>            σ(L/lc)           <L/lambda>       σ(L/lambda)        <lb/L>            σ(lb/L)           <E_stretch>       σ(E_stretch)      <E_bend>          σ(E_bend)         <E_shear>         σ(E_shear)        <E_total>         σ(E_total)        <E from A>        σ(E from A)       <E_error>         σ(E_error)        N     EA              EI              GI              ORTHO           SHEARDISPL      STRETCHDISPL    L        CASENO   SEED    WX    WY  Datafile
# index 0  EA=1  EI=4e-8  GI variable  ORTHO=0.1
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000001710521    0.000000165414    0.000004538956    0.000000424029    0.000000002374    0.000000000332    0.000006251851    0.000000559279    0.000006251848    0.000000559281    0.000000452865    0.000002073333     600  1.000000000000  0.000000040000  0.100000000000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5010.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000001699032    0.000000164076    0.000004508564    0.000000419942    0.000000023185    0.000000003031    0.000006230780    0.000000556600    0.000006230784    0.000000556604   -0.000000601839    0.000001894090     600  1.000000000000  0.000000040000  0.010000000000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5011.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000001596841    0.000000152550    0.000004237132    0.000000383995    0.000000202318    0.000000025887    0.000006036291    0.000000532547    0.000006036292    0.000000532550   -0.000000180405    0.000001302567     600  1.000000000000  0.000000040000  0.001000000000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5012.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000001083648    0.000000102277    0.000002872541    0.000000223900    0.000000893721    0.000000099685    0.000004849910    0.000000398107    0.000004849914    0.000000398113   -0.000000696738    0.000002962221     600  1.000000000000  0.000000040000  0.000100000000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5013.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000000450930    0.000000051354    0.000001321864    0.000000119315    0.000000811923    0.000000068583    0.000002584717    0.000000209280    0.000002584718    0.000000209284   -0.000000034834    0.000002983476     600  1.000000000000  0.000000040000  0.000010000000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5014.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000000276836    0.000000040377    0.000001055886    0.000000115734    0.000000186827    0.000000015623    0.000001519549    0.000000160419    0.000001519548    0.000000160421    0.000000848347    0.000002479273     600  1.000000000000  0.000000040000  0.000001000000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5015.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000000256066    0.000000039255    0.000001057914    0.000000116527    0.000000022362    0.000000002046    0.000001336342    0.000000155243    0.000001336339    0.000000155243    0.000002202855    0.000003167809     600  1.000000000000  0.000000040000  0.000000100000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5016.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000000253984    0.000000039141    0.000001059716    0.000000116701    0.000000002288    0.000000000215    0.000001315988    0.000000154707    0.000001315985    0.000000154702    0.000002089716    0.000006746478     600  1.000000000000  0.000000040000  0.000000010000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5017.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000000253777    0.000000039129    0.000001059921    0.000000116721    0.000000000229    0.000000000022    0.000001313927    0.000000154653    0.000001313927    0.000000154656    0.000000207004    0.000005130932     600  1.000000000000  0.000000040000  0.000000001000  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5018.dat
  0.013947317900    0.000204474402    0.000200000000    0.000000000000    0.057411149300    0.001123775033   14.342425682500    0.208535363718    3.484832214300    0.067464703050    0.001000000000    0.000000000000    0.000000253756    0.000000039128    0.000001059942    0.000000116723    0.000000000023    0.000000000002    0.000001313721    0.000000154648    0.000001313718    0.000000154644    0.000001863501    0.000005459673     600  1.000000000000  0.000000040000  0.000000000100  0.200000000000  0.010000000000  0.000000000000  0.200000      10     101  1.00  1.00  data5019.dat
